Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Vendor,Pack Price,Unit Price,Unit of Measure (Per Pack),Shipment Mode,Product Group,Manufacturing Site,Freight Cost (USD)
7-Sep-10,15-Oct-10,15-Oct-10,Aurobindo Pharma Limited,4.67,0.16,30,Air,ARV,"Aurobindo Unit III, India",4263.07
8-Feb-12,8-Feb-12,8-Feb-12,"Orgenics, Ltd",89.0,0.89,100,Air,HRDT,"Alere Medical Co., Ltd.",7428.38
10-Mar-11,10-Mar-11,10-Mar-11,EMCURE PHARMACEUTICALS LTD,26.09,0.43,60,Air,ARV,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",1308.4
12-Sep-11,12-Sep-11,12-Sep-11,IDIS LIMITED,75.62,1.26,60,Air,ARV,"BMS Meymac, France",Freight Included in Commodity Cost
22-Jul-10,22-Jul-10,22-Jul-10,"Trinity Biotech, Plc",32.0,1.6,20,Air,HRDT,"Trinity Biotech, Plc",29878.21
8-Oct-09,8-Oct-09,8-Oct-09,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),36.16,0.3,120,Air,ARV,ABBVIE Ludwigshafen Germany,28238.31
13-Jan-14,13-Jan-14,13-Jan-14,S. BUYS WHOLESALER,18.69,0.62,30,Truck,ARV,Hetero Unit III Hyderabad IN,Freight Included in Commodity Cost
9-Aug-11,11-Aug-11,11-Aug-11,"Orgenics, Ltd",89.0,0.89,100,Air,HRDT,Inverness Japan,37548.87
29-Aug-14,29-Aug-14,3-Sep-14,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),30.82,0.1,300,Air,ARV,ABBVIE (Abbott) Logis. UK,1257.16
24-Jun-14,24-Jun-14,24-Jun-14,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),3.6,0.06,60,Air,ARV,Mylan (formerly Matrix) Nashik,9815.52
21-Nov-13,21-Nov-13,21-Nov-13,HETERO LABS LIMITED,10.5,0.35,30,Air,ARV,Hetero Unit III Hyderabad IN,127285.48
4-Apr-11,27-May-11,27-May-11,Aurobindo Pharma Limited,2.12,0.01,240,Ocean,ARV,"Aurobindo Unit III, India",3524.93
11-Jul-13,11-Jul-13,11-Jul-13,Aurobindo Pharma Limited,1.25,0.04,30,Air,ARV,"Aurobindo Unit III, India",938.05
2-Aug-10,2-Aug-10,2-Aug-10,EMCURE PHARMACEUTICALS LTD,26.09,0.43,60,Air,ARV,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",1122.07
31-May-10,31-May-10,31-May-10,S. BUYS WHOLESALER,19.81,0.66,30,Truck,ARV,"Cipla, Goa, India",Freight Included in Commodity Cost
16-Apr-13,16-Apr-13,16-Apr-13,S. BUYS WHOLESALER,19.14,0.32,60,Truck,ARV,"GSK, U1, Poznan, Poland",Freight Included in Commodity Cost
10-Dec-13,12-Dec-13,13-Dec-13,Aurobindo Pharma Limited,1.3,0.01,100,Air,ARV,"Aurobindo Unit III, India",Invoiced Separately
17-Dec-10,21-Dec-10,21-Dec-10,"Orgenics, Ltd",80.0,0.8,100,Air,HRDT,Inverness Japan,19610.11
15-Jan-15,15-Jan-15,24-Feb-15,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),11.09,0.18,60,Air,ARV,Mylan (formerly Matrix) Nashik,1069.31
26-Jan-15,26-Jan-15,26-Jan-15,PHARMACY DIRECT,6.61,0.11,60,Truck,ARV,"Aurobindo Unit III, India",Freight Included in Commodity Cost
16-Nov-13,16-Nov-13,21-Nov-13,CIPLA LIMITED,8.1,0.13,60,Air,ARV,"Cipla, Goa, India",30764.18
2-Jul-15,7-Jul-15,7-Jul-15,"Orgenics, Ltd",5.0,5.0,1,Air,HRDT,"Alere Medical Co., Ltd.",See ASN-32106 (ID#:19172)
25-Jun-14,25-Jun-14,25-Jun-14,PHARMACY DIRECT,24.51,0.1,240,Truck,ARV,"Aurobindo Unit III, India",Freight Included in Commodity Cost
22-Sep-14,15-Sep-14,17-Sep-14,HETERO LABS LIMITED,10.5,0.35,30,Air,ARV,Hetero Unit III Hyderabad IN,2718.03
29-Apr-13,29-Apr-13,29-Apr-13,"Orgenics, Ltd",80.0,0.8,100,Air,HRDT,"Alere Medical Co., Ltd.",31917.19
20-Sep-13,20-Sep-13,20-Sep-13,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",27.6,0.92,30,Air,HRDT,Chembio Diagnostics Sys. Inc.,1682.15
28-Aug-14,28-Aug-14,28-Aug-14,PHARMACY DIRECT,24.51,0.1,240,Truck,ARV,"Aurobindo Unit III, India",Freight Included in Commodity Cost
17-Mar-14,17-Mar-14,17-Mar-14,INVERNESS MEDICAL INNOVATIONS HONG KONG LTD,80.0,0.8,100,Air,HRDT,"Alere Medical Co., Ltd.",19489.83
29-Aug-14,29-Aug-14,29-Aug-14,S. BUYS WHOLESALER,27.11,0.45,60,Truck,ARV,"Aurobindo Unit III, India",Freight Included in Commodity Cost
22-May-13,22-May-13,22-May-13,Aurobindo Pharma Limited,1.85,0.01,240,Air,ARV,"Aurobindo Unit III, India",6368.02
25-Apr-13,25-Apr-13,25-Apr-13,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),30.82,0.1,300,Air,ARV,ABBVIE (Abbott) Logis. UK,9299.26
27-May-14,27-May-14,12-Jun-14,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),3.6,0.06,60,Ocean,ARV,Mylan (formerly Matrix) Nashik,28270.78
12-Sep-11,12-Sep-11,12-Sep-11,"Standard Diagnostics, Inc.",20.0,0.8,25,Air,HRDT,"Standard Diagnostics, Korea",5639.42
7-Apr-14,7-Apr-14,23-Apr-14,WAGENIA,7.51,7.51,1,Truck,HRDT,"Alere Medical Co., Ltd.",Freight Included in Commodity Cost
16-Jan-15,16-Jan-15,17-Jan-15,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),60.82,0.51,120,Air,ARV,ABBVIE Ludwigshafen Germany,4489.32
8-Sep-10,8-Sep-10,8-Sep-10,BRISTOL-MYERS SQUIBB,7.0,0.12,60,Air,ARV,"BMS Meymac, France",See ASN-8019 (ID#:14694)
4-Apr-11,4-Apr-11,4-Apr-11,Aurobindo Pharma Limited,2.12,0.01,240,Ocean,ARV,"Aurobindo Unit III, India",3524.95
20-Jul-14,20-Jul-14,1-Aug-14,Aurobindo Pharma Limited,2.25,0.04,60,Air,ARV,"Aurobindo Unit III, India",22508.32
7-Sep-15,7-Sep-15,7-Sep-15,Aurobindo Pharma Limited,3.3,0.11,30,Air,ARV,"Aurobindo Unit III, India",Invoiced Separately
18-Feb-12,18-Feb-12,18-Feb-12,Aurobindo Pharma Limited,7.95,0.13,60,Air,ARV,"Aurobindo Unit III, India",See ASN-13410 (ID#:16901)
18-Mar-13,18-Mar-13,18-Mar-13,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),11.49,0.38,30,Air,ARV,Mylan (formerly Matrix) Nashik,4802.92
26-Sep-13,26-Sep-13,26-Sep-13,CIPLA LIMITED,6.59,0.11,60,Air,ARV,"Cipla, Goa, India",36166.79
19-Nov-10,19-Nov-10,19-Nov-10,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",27.0,1.35,20,Air,HRDT,Chembio Diagnostics Sys. Inc.,269.98
13-Aug-10,13-Aug-10,13-Aug-10,Aurobindo Pharma Limited,13.0,0.43,30,Air,ARV,"Aurobindo Unit III, India",13320.8
5-Nov-14,5-Nov-14,5-Nov-14,PHARMACY DIRECT,35.35,0.29,120,Truck,ARV,"Janssen-Cilag, Latina, IT",Freight Included in Commodity Cost
13-Mar-10,13-Mar-10,13-Mar-10,CIPLA LIMITED,5.74,0.1,60,Air,ARV,"Cipla, Goa, India",6390.83
15-Nov-13,15-Nov-13,15-Nov-13,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),6.85,0.11,60,Air,ARV,ABBVIE Ludwigshafen Germany,887.67
29-Aug-14,29-Aug-14,29-Aug-14,S. BUYS WHOLESALER,21.71,0.72,30,Truck,ARV,"Aurobindo Unit III, India",Freight Included in Commodity Cost
14-Sep-11,14-Sep-11,14-Sep-11,Aurobindo Pharma Limited,8.42,0.14,60,Ocean,ARV,"Aurobindo Unit III, India",8033.13
24-Jun-14,24-Jun-14,24-Jun-14,STRIDES ARCOLAB LIMITED,9.3,0.1,90,Air,ARV,"Strides, Bangalore, India.",3416.2
27-Jul-11,27-Jul-11,27-Jul-11,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),7.25,0.12,60,Air,ARV,Mylan (formerly Matrix) Nashik,6247.82
21-Aug-12,21-Aug-12,21-Aug-12,"Trinity Biotech, Plc",32.0,1.6,20,Air,HRDT,"Trinity Biotech, Plc",512.31
12-May-15,12-May-15,12-May-15,PHARMACY DIRECT,12.82,0.21,60,Truck,ARV,"Aurobindo Unit III, India",Freight Included in Commodity Cost
27-Mar-13,27-Mar-13,27-Mar-13,"Trinity Biotech, Plc",32.0,1.6,20,Air,HRDT,"Trinity Biotech, Plc",2231.97
29-Dec-09,29-Dec-09,29-Dec-09,S. BUYS WHOLESALER,14.9,0.25,60,Truck,ARV,GSK Ware (UK),Freight Included in Commodity Cost
11-Aug-15,11-Aug-15,11-Aug-15,PHARMACY DIRECT,17.14,0.06,300,Truck,ARV,ABBVIE (Abbott) Logis. UK,Freight Included in Commodity Cost
25-May-15,25-May-15,26-May-15,CIPLA LIMITED,10.25,0.34,30,Ocean,ARV,Cipla Ltd A-42 MIDC Mahar. IN,9481.92
27-Mar-14,27-Mar-14,27-Mar-14,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)",24.5,24.5,1,Air,HRDT,"KHB Test Kit Facility, Shanghai China",26266.34
2-Sep-13,2-Sep-13,2-Sep-13,Aurobindo Pharma Limited,6.82,0.11,60,Ocean,ARV,"Aurobindo Unit III, India",See ASN-19819 (ID#:13739)
8-Dec-09,8-Dec-09,8-Dec-09,S. BUYS WHOLESALER,4.02,0.13,30,Truck,ARV,"Aurobindo Unit III, India",Freight Included in Commodity Cost
16-Nov-13,16-Nov-13,21-Nov-13,CIPLA LIMITED,3.24,0.11,30,Air,ARV,"Cipla, Goa, India",19759.68
21-Dec-12,21-Dec-12,21-Dec-12,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),60.82,0.51,120,Air,ARV,ABBVIE Ludwigshafen Germany,3622.58
8-Nov-11,8-Nov-11,8-Nov-11,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),6.85,0.11,60,Air,ARV,ABBVIE Ludwigshafen Germany,3669.84
10-Mar-11,4-Mar-11,4-Mar-11,Aurobindo Pharma Limited,4.53,0.15,30,Ocean,ARV,"Aurobindo Unit III, India",15331.49
29-Oct-13,29-Oct-13,1-Nov-13,"Orgenics, Ltd",92.0,0.92,100,Air,HRDT,"Alere Medical Co., Ltd.",9165.29
8-Oct-12,8-Oct-12,8-Oct-12,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",29.0,1.45,20,Air,HRDT,Chembio Diagnostics Sys. Inc.,6418.11
20-Oct-14,20-Oct-14,6-Nov-14,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),10.74,0.36,30,Ocean,ARV,Mylan (formerly Matrix) Nashik,9195.61
28-Apr-15,28-Apr-15,28-Apr-15,PHARMACY DIRECT,3.01,0.1,30,Truck,ARV,"Aurobindo Unit III, India",Freight Included in Commodity Cost
23-Oct-09,23-Oct-09,23-Oct-09,Aurobindo Pharma Limited,8.61,0.14,60,Air,ARV,"Aurobindo Unit III, India",3796.95
23-Sep-09,23-Sep-09,23-Sep-09,BIO-RAD LABORATORIES PTY LTD. (SOUTH AFRICA),750.29,41.68,18,Air,HRDT,Bio-Rad Laboratories,Freight Included in Commodity Cost
26-Nov-14,26-Nov-14,26-Nov-14,MICRO LABS LIMITED,2.98,0.1,30,Air,ARV,"Micro labs, Verna, Goa, India",6195.84
28-Nov-14,28-Nov-14,28-Nov-14,PHARMACY DIRECT,22.54,0.38,60,Truck,ARV,"Aurobindo Unit III, India",Freight Included in Commodity Cost
22-Aug-14,22-Aug-14,22-Aug-14,CIPLA LIMITED,2.15,0.04,60,Air,ARV,"Cipla, Goa, India",1765.03
17-Nov-10,17-Nov-10,17-Nov-10,STRIDES ARCOLAB LIMITED,2.82,0.05,60,Ocean,ARV,"Strides, Bangalore, India.",7526.14
27-Aug-14,27-Aug-14,27-Aug-14,S. BUYS WHOLESALER,9.85,0.16,60,Truck,ARV,Hetero Unit III Hyderabad IN,Freight Included in Commodity Cost
24-Aug-15,24-Aug-15,24-Aug-15,PHARMACY DIRECT,5.41,0.02,240,Truck,ARV,"Aurobindo Unit III, India",Freight Included in Commodity Cost
5-Aug-13,9-Aug-13,9-Aug-13,"Orgenics, Ltd",80.0,0.8,100,Air,HRDT,"Alere Medical Co., Ltd.",19517.12
10-Mar-11,4-Mar-11,4-Mar-11,Aurobindo Pharma Limited,4.53,0.15,30,Ocean,ARV,"Aurobindo Unit III, India",15331.51
28-Dec-12,28-Dec-12,28-Dec-12,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),11.99,0.4,30,Air,ARV,Mylan (formerly Matrix) Nashik,4503.42
24-Feb-14,24-Feb-14,25-Feb-14,ETHNOR DEL ISTMO S.A.,66.6,0.55,120,Air,ARV,"Janssen Ortho LLC, Puerto Rico",Freight Included in Commodity Cost
28-Aug-14,28-Aug-14,28-Aug-14,PHARMACY DIRECT,19.12,0.64,30,Truck,ARV,Mylan (formerly Matrix) Nashik,Freight Included in Commodity Cost
3-May-11,3-May-11,3-May-11,Aurobindo Pharma Limited,9.98,0.11,90,Ocean,ARV,"Aurobindo Unit III, India",4573.21
14-Mar-13,14-Mar-13,14-Mar-13,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),5.94,0.1,60,Air,ARV,ABBVIE Ludwigshafen Germany,2969.34
18-Feb-15,18-Feb-15,19-Feb-15,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)",24.5,24.5,1,Air,HRDT,"KHB Test Kit Facility, Shanghai China",35437.38
13-Aug-13,13-Aug-13,13-Aug-13,HETERO LABS LIMITED,5.5,0.09,60,Air,ARV,Hetero Unit III Hyderabad IN,18263.45
10-Oct-11,3-Nov-11,3-Nov-11,Aurobindo Pharma Limited,4.51,0.15,30,Ocean,ARV,"Aurobindo Unit III, India",9323.3
7-Jul-15,7-Jul-15,7-Jul-15,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),5.94,0.1,60,Air,ARV,ABBVIE Ludwigshafen Germany,4126.9
18-Mar-10,18-Mar-10,18-Mar-10,"Orgenics, Ltd",72.0,0.72,100,Air,HRDT,Inverness Japan,20121.14
22-Oct-14,22-Oct-14,22-Oct-14,HETERO LABS LIMITED,4.62,0.15,30,Air,ARV,Hetero Unit III Hyderabad IN,12463.74
23-Apr-15,23-Apr-15,23-Apr-15,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),30.82,0.1,300,Air,ARV,ABBVIE (Abbott) Logis. UK,13949.95
27-Aug-14,27-Aug-14,27-Aug-14,S. BUYS WHOLESALER,8.0,0.03,240,Truck,ARV,"Aurobindo Unit III, India",Freight Included in Commodity Cost
7-Jan-10,7-Jan-10,7-Jan-10,CIPLA LIMITED,6.15,0.1,60,Air,ARV,"Cipla, Goa, India",12423.96
23-Mar-12,23-Mar-12,23-Mar-12,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),30.82,0.26,120,Ocean,ARV,ABBVIE Ludwigshafen Germany,Invoiced Separately
20-Jul-13,20-Jul-13,20-Jul-13,"Orgenics, Ltd",89.0,0.89,100,Air,HRDT,"Alere Medical Co., Ltd.",2561.61
30-Sep-14,30-Sep-14,29-Oct-14,STRIDES ARCOLAB LIMITED,8.11,0.14,60,Air,ARV,"Strides, Bangalore, India.",2322.08
16-Jan-12,16-Jan-12,16-Jan-12,Aurobindo Pharma Limited,4.26,0.14,30,Ocean,ARV,"Aurobindo Unit III, India",7292.26
22-Oct-14,22-Oct-14,22-Oct-14,HETERO LABS LIMITED,4.62,0.15,30,Air,ARV,Hetero Unit III Hyderabad IN,12463.74
30-Mar-12,30-Mar-12,30-Mar-12,Aurobindo Pharma Limited,20.0,0.67,30,Air,ARV,"Aurobindo Unit III, India",5906.43
14-Oct-14,14-Oct-14,20-Oct-14,CIPLA LIMITED,8.1,0.13,60,Air,ARV,"Cipla, Goa, India",17036.99
19-Aug-14,5-Sep-14,17-Sep-14,"Orgenics, Ltd",89.0,0.89,100,Air,HRDT,"Alere Medical Co., Ltd.",25709.5
14-Jun-14,14-Jun-14,16-Jun-14,Aurobindo Pharma Limited,4.65,0.16,30,Air,ARV,"Aurobindo Unit VII, IN",25316.94
31-May-11,31-May-11,31-May-11,ASPEN PHARMACARE,93.14,0.78,120,Air,ARV,"Aspen-OSD, Port Elizabeth, SA",466
17-Aug-09,17-Aug-09,17-Aug-09,"PUETRO RICO PHARMACEUTICAL, INC.",30.19,1.01,30,Air,ARV,Gilead(Nycomed) Oranienburg DE,2748.16
1-Jul-11,1-Jul-11,1-Jul-11,"Trinity Biotech, Plc",32.0,1.6,20,Air,HRDT,"Trinity Biotech, Plc",1626.67
20-Sep-11,20-Sep-11,20-Sep-11,"Orgenics, Ltd",77.7,0.78,100,Air,HRDT,Inverness Japan,859.18
10-Mar-10,10-Mar-10,10-Mar-10,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),6.5,0.22,30,Air,ARV,Mylan (formerly Matrix) Nashik,11448.01
29-Aug-14,29-Aug-14,29-Aug-14,S. BUYS WHOLESALER,20.82,0.69,30,Truck,ARV,Hetero Unit III Hyderabad IN,Freight Included in Commodity Cost
10-Nov-14,10-Nov-14,13-Nov-14,Aurobindo Pharma Limited,11.0,0.37,30,Air,ARV,"Aurobindo Unit III, India",2453.16
11-Jan-11,11-Jan-11,11-Jan-11,Aurobindo Pharma Limited,7.33,0.12,60,Ocean,ARV,"Aurobindo Unit III, India",4295.61
10-Apr-12,10-Apr-12,10-Apr-12,Aurobindo Pharma Limited,8.5,0.28,30,Air,ARV,"Aurobindo Unit III, India",1471.46
11-Aug-15,11-Aug-15,11-Aug-15,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),23.26,0.78,30,Air,ARV,ABBVIE Ludwigshafen Germany,Invoiced Separately
27-Jul-10,27-Jul-10,27-Jul-10,STRIDES ARCOLAB LIMITED,2.57,0.04,60,Air,ARV,"Strides, Bangalore, India.",20706.21
3-Mar-10,3-Mar-10,3-Mar-10,Hoffmann-La Roche ltd Basel,125.94,0.47,270,Air,ARV,Roche Madrid,1049.3
16-Jan-15,16-Jan-15,24-Feb-15,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),23.26,0.78,30,Air,ARV,ABBVIE Ludwigshafen Germany,Invoiced Separately
22-Apr-13,22-Apr-13,22-Apr-13,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),11.75,0.2,60,Ocean,ARV,Mylan (formerly Matrix) Nashik,59186.46
24-Jul-15,24-Jul-15,24-Jul-15,PHARMACY DIRECT,27.51,0.23,120,Truck,ARV,"Janssen-Cilag, Latina, IT",Freight Included in Commodity Cost
10-Jul-15,7-Jul-15,7-Jul-15,HETERO LABS LIMITED,10.0,0.33,30,Air,ARV,Hetero Unit III Hyderabad IN,Invoiced Separately
29-Aug-14,29-Aug-14,29-Aug-14,S. BUYS WHOLESALER,32.75,0.55,60,Truck,ARV,Hetero Unit III Hyderabad IN,Freight Included in Commodity Cost
19-Jan-15,16-Jan-15,22-Jan-15,"Orgenics, Ltd",89.0,0.89,100,Air,HRDT,"Alere Medical Co., Ltd.",31305.04
5-Jul-12,5-Jul-12,5-Jul-12,"Orgenics, Ltd",77.7,0.78,100,Air,HRDT,Inverness Japan,718.32
17-Oct-11,17-Oct-11,17-Oct-11,HETERO LABS LIMITED,4.71,0.16,30,Ocean,ARV,Hetero Unit III Hyderabad IN,20684.73
3-Jul-12,3-Jul-12,3-Jul-12,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),6.85,0.11,60,Air,ARV,ABBVIE Ludwigshafen Germany,1462.71
27-Dec-13,27-Dec-13,27-Dec-13,CIPLA LIMITED,8.1,0.13,60,Air,ARV,"Cipla, Goa, India",11363.07
2-Oct-13,2-Oct-13,2-Oct-13,"Trinity Biotech, Plc",32.0,1.6,20,Air,HRDT,"Trinity Biotech, Plc",703.25
12-Sep-13,12-Sep-13,12-Sep-13,"Trinity Biotech, Plc",32.0,1.6,20,Air,HRDT,"Trinity Biotech, Plc",2329.14
24-Aug-15,24-Aug-15,24-Aug-15,PHARMACY DIRECT,65.75,1.1,60,Truck,ARV,"MSD, Haarlem, NL",Freight Included in Commodity Cost
9-May-11,9-May-11,9-May-11,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),206.51,0.61,336,Air,ARV,ABBVIE (Abbott) Logis. UK,7339.84
24-Aug-15,24-Aug-15,24-Aug-15,PHARMACY DIRECT,14.85,0.5,30,Truck,ARV,Mylan (formerly Matrix) Nashik,Freight Included in Commodity Cost
2-Jul-15,7-Jul-15,7-Jul-15,"Orgenics, Ltd",8.0,0.08,100,Air,HRDT,"Alere Medical Co., Ltd.",See ASN-32106 (ID#:19172)
13-Aug-14,30-Jul-14,1-Aug-14,HETERO LABS LIMITED,10.5,0.35,30,Air,ARV,Hetero Unit III Hyderabad IN,5173.14
6-Sep-10,6-Sep-10,6-Sep-10,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),306.88,0.91,336,Air,ARV,ABBVIE (Abbott) Logis. UK,3981.97
31-Mar-15,31-Mar-15,1-Apr-15,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),6.49,0.11,60,Ocean,ARV,Mylan (formerly Matrix) Nashik,10477.63
23-Apr-14,23-Apr-14,23-Apr-14,HETERO LABS LIMITED,3.55,0.12,30,Air,ARV,Hetero Unit III Hyderabad IN,See ASN-24394 (ID#:16053)
5-Apr-11,5-Apr-11,5-Apr-11,BRISTOL-MYERS SQUIBB,7.0,0.12,60,Air,ARV,"BMS Meymac, France",1082.89
27-May-14,27-May-14,12-Jun-14,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),11.74,0.39,30,Ocean,ARV,Mylan (formerly Matrix) Nashik,See ASN-25567 (ID#:21563)
11-Jul-14,11-Jul-14,11-Jul-14,S. BUYS WHOLESALER,25.68,0.43,60,Truck,ARV,"BMS Evansville, US",Freight Included in Commodity Cost
10-Oct-11,10-Oct-11,10-Oct-11,Aurobindo Pharma Limited,4.51,0.15,30,Ocean,ARV,"Aurobindo Unit III, India",9951.38
20-Oct-14,20-Oct-14,6-Nov-14,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),3.95,0.07,60,Ocean,ARV,Mylan (formerly Matrix) Nashik,See ASN-27545 (ID#:22160)
29-Aug-14,29-Aug-14,29-Aug-14,S. BUYS WHOLESALER,3.32,0.11,30,Truck,ARV,"Aurobindo Unit III, India",Freight Included in Commodity Cost
24-Aug-10,24-Aug-10,24-Aug-10,Aurobindo Pharma Limited,4.67,0.16,30,Air,ARV,"Aurobindo Unit III, India",5886.9
24-Aug-10,19-Nov-10,19-Nov-10,Aurobindo Pharma Limited,2.53,0.04,60,Air,ARV,"Aurobindo Unit III, India",1791.41
17-Feb-15,17-Feb-15,17-Feb-15,EMCURE PHARMACEUTICALS LTD,20.0,0.33,60,Air,ARV,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",1600.98
9-Jan-12,9-Jan-12,9-Jan-12,IDA FOUNDATION,1.59,0.05,30,Air,ANTM,"Micro Labs Ltd. (Brown & Burk), India",350.02
15-Apr-10,15-Apr-10,15-Apr-10,Aurobindo Pharma Limited,14.65,0.49,30,Air,ARV,"Aurobindo Unit III, India",23760.45
21-Jan-14,21-Jan-14,22-Jan-14,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),13.49,0.45,30,Air,ARV,Mylan (formerly Matrix) Nashik,6773.13
26-Mar-15,26-Mar-15,30-Mar-15,HETERO LABS LIMITED,1.8,0.03,60,Air,ARV,Hetero Unit III Hyderabad IN,2612.79
10-May-11,10-May-11,10-May-11,BIOLYTICAL LABORATORIES INC.,3.25,3.25,1,Air,HRDT,bioLytical Laboratories,1014.5
24-Jul-15,24-Jul-15,24-Jul-15,PHARMACY DIRECT,7.05,0.12,60,Truck,ARV,"Aurobindo Unit III, India",Freight Included in Commodity Cost
3-Jun-15,3-Jun-15,5-Jun-15,"Orgenics, Ltd",5.0,5.0,1,Air,HRDT,"Alere Medical Co., Ltd.",See ASN-31323 (ID#:14240)
30-Jun-14,30-Jun-14,7-Jul-14,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),20.0,0.67,30,Air,ARV,Mylan (formerly Matrix) Nashik,3316.79
2-Apr-12,2-Apr-12,2-Apr-12,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),30.82,0.1,300,Air,ARV,ABBVIE (Abbott) Logis. UK,Invoiced Separately
26-Apr-10,26-Apr-10,26-Apr-10,Aurobindo Pharma Limited,37.36,0.31,120,Air,ARV,"Aurobindo Unit III, India",7531.78
2-Nov-11,2-Nov-11,2-Nov-11,CIPLA LIMITED,2.72,0.05,60,Ocean,ARV,"Cipla, Goa, India",17703.62
29-Sep-14,29-Sep-14,30-Sep-14,"Trinity Biotech, Plc",32.0,1.6,20,Air,HRDT,"Trinity Biotech, Plc",4011.66
12-Aug-09,12-Aug-09,12-Aug-09,S. BUYS WHOLESALER,46.99,0.39,120,Truck,ARV,ABBVIE Ludwigshafen Germany,Freight Included in Commodity Cost
20-Feb-12,20-Feb-12,20-Feb-12,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),16.96,0.09,180,Air,ARV,"MSD, Haarlem, NL",783.22
11-Aug-09,12-Aug-09,12-Aug-09,S. BUYS WHOLESALER,25.74,0.86,30,Truck,ARV,"Aspen-OSD, Port Elizabeth, SA",Freight Included in Commodity Cost
27-Jul-11,27-Jul-11,27-Jul-11,"Orgenics, Ltd",89.0,0.89,100,Air,HRDT,Inverness Japan,26014.88
17-Nov-09,17-Nov-09,17-Nov-09,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),50.0,0.28,180,Air,ARV,"MSD, Haarlem, NL",48
6-Feb-14,6-Feb-14,6-Feb-14,S. BUYS WHOLESALER,18.09,0.3,60,Truck,ARV,"Cipla, Goa, India",Freight Included in Commodity Cost
9-Nov-10,9-Nov-10,9-Nov-10,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),4.3,0.14,30,Air,ARV,Mylan (formerly Matrix) Nashik,10711.06
13-Jan-14,13-Jan-14,13-Jan-14,S. BUYS WHOLESALER,7.08,0.03,240,Truck,ARV,"Aurobindo Unit III, India",Freight Included in Commodity Cost
2-Jul-13,2-Jul-13,2-Jul-13,MICRO LABS LIMITED,3.23,0.11,30,Air,ARV,"Micro labs, Verna, Goa, India",9648.44
4-Mar-10,4-Mar-10,4-Mar-10,"Trinity Biotech, Plc",31.0,15.5,2,Air,HRDT,"Trinity Biotech, Plc",599.73
23-Sep-11,23-Sep-11,23-Sep-11,GLAXOSMITHKLINE EXPORT LIMITED,9.28,0.04,240,Ocean,ARV,GSK Mississauga (Canada),9650.6
